country,year,early_leavers
BE,2000,13.8
BE,2001,13.8
BE,2002,14.1
BE,2003,14.3
BE,2004,13.1
BE,2005,12.9
BE,2006,12.6
BE,2007,12.1
BE,2008,12.0
BE,2009,11.1
BE,2010,11.9
BE,2011,12.3
BE,2012,12.0
BE,2013,11.0
BE,2014,9.8
BE,2015,10.1
BE,2016,8.8
BE,2017,8.9
BE,2018,8.6
BE,2019,8.4
BE,2020,8.1
BE,2021,6.7
BE,2022,6.4
BE,2023,6.2
BE,2024,7.0
DE,2000,14.6
DE,2001,12.3
DE,2002,12.5
DE,2003,12.8
DE,2004,12.1
DE,2005,13.5
DE,2006,13.7
DE,2007,12.5
DE,2008,11.8
DE,2009,11.1
DE,2010,11.8
DE,2011,11.6
DE,2012,10.5
DE,2013,9.8
DE,2014,9.5
DE,2015,10.1
DE,2016,10.3
DE,2017,10.1
DE,2018,10.3
DE,2019,10.3
DE,2020,10.1
DE,2021,12.3
DE,2022,12.5
DE,2023,13.0
DE,2024,12.9
EE,2000,15.1
EE,2001,14.7
EE,2002,13.6
EE,2003,13.7
EE,2004,13.9
EE,2005,14.0
EE,2006,13.4
EE,2007,14.4
EE,2008,14.0
EE,2009,13.5
EE,2010,11.0
EE,2011,10.6
EE,2012,10.3
EE,2013,9.7
EE,2014,12.0
EE,2015,13.7
EE,2016,11.4
EE,2017,11.8
EE,2018,12.0
EE,2019,11.2
EE,2020,8.5
EE,2021,9.8
EE,2022,10.8
EE,2023,9.7
EE,2024,11.0
IE,2000,
IE,2001,
IE,2002,14.6
IE,2003,13.1
IE,2004,13.1
IE,2005,12.5
IE,2006,12.3
IE,2007,12.0
IE,2008,11.7
IE,2009,11.8
IE,2010,11.9
IE,2011,11.1
IE,2012,9.9
IE,2013,8.7
IE,2014,6.7
IE,2015,6.8
IE,2016,6.0
IE,2017,5.0
IE,2018,5.0
IE,2019,5.1
IE,2020,5.0
IE,2021,3.3
IE,2022,3.7
IE,2023,4.0
IE,2024,2.8
EL,2000,18.2
EL,2001,16.9
EL,2002,16.2
EL,2003,15.6
EL,2004,14.5
EL,2005,13.3
EL,2006,15.1
EL,2007,14.3
EL,2008,14.4
EL,2009,14.2
EL,2010,13.5
EL,2011,12.9
EL,2012,11.3
EL,2013,10.1
EL,2014,9.0
EL,2015,7.9
EL,2016,6.2
EL,2017,6.0
EL,2018,4.7
EL,2019,4.1
EL,2020,3.8
EL,2021,3.2
EL,2022,4.1
EL,2023,3.7
EL,2024,3.0
ES,2000,29.1
ES,2001,29.7
ES,2002,30.9
ES,2003,31.7
ES,2004,32.2
ES,2005,31.0
ES,2006,30.3
ES,2007,30.8
ES,2008,31.7
ES,2009,30.9
ES,2010,28.2
ES,2011,26.3
ES,2012,24.7
ES,2013,23.6
ES,2014,21.9
ES,2015,20.0
ES,2016,19.0
ES,2017,18.3
ES,2018,17.9
ES,2019,17.3
ES,2020,16.0
ES,2021,13.3
ES,2022,13.9
ES,2023,13.7
ES,2024,13.0
FR,2000,13.3
FR,2001,13.5
FR,2002,13.4
FR,2003,12.7
FR,2004,12.3
FR,2005,12.5
FR,2006,12.7
FR,2007,12.8
FR,2008,11.8
FR,2009,12.4
FR,2010,12.7
FR,2011,12.3
FR,2012,11.8
FR,2013,9.7
FR,2014,8.8
FR,2015,9.2
FR,2016,8.8
FR,2017,8.8
FR,2018,8.7
FR,2019,8.2
FR,2020,8.0
FR,2021,7.8
FR,2022,7.6
FR,2023,7.6
FR,2024,7.7
HR,2000,
HR,2001,
HR,2002,8.0
HR,2003,7.9
HR,2004,5.4
HR,2005,5.1
HR,2006,4.7
HR,2007,4.5
HR,2008,4.4
HR,2009,5.2
HR,2010,5.2
HR,2011,5.0
HR,2012,5.0
HR,2013,4.3
HR,2014,2.8
HR,2015,2.7
HR,2016,2.8
HR,2017,2.9
HR,2018,3.1
HR,2019,3.0
HR,2020,2.2
HR,2021,2.4
HR,2022,2.1
HR,2023,2.0
HR,2024,2.0
IT,2000,25.1
IT,2001,25.9
IT,2002,24.2
IT,2003,23.0
IT,2004,23.1
IT,2005,22.1
IT,2006,20.4
IT,2007,19.5
IT,2008,19.6
IT,2009,19.1
IT,2010,18.6
IT,2011,17.8
IT,2012,17.3
IT,2013,16.8
IT,2014,15.0
IT,2015,14.7
IT,2016,13.8
IT,2017,14.0
IT,2018,14.3
IT,2019,13.3
IT,2020,14.2
IT,2021,12.7
IT,2022,11.5
IT,2023,10.5
IT,2024,9.8
CY,2000,18.5
CY,2001,17.9
CY,2002,15.9
CY,2003,17.3
CY,2004,20.6
CY,2005,18.2
CY,2006,14.9
CY,2007,12.5
CY,2008,13.7
CY,2009,11.7
CY,2010,12.7
CY,2011,11.3
CY,2012,11.4
CY,2013,9.1
CY,2014,6.8
CY,2015,5.2
CY,2016,7.6
CY,2017,8.5
CY,2018,7.8
CY,2019,9.0
CY,2020,11.6
CY,2021,9.8
CY,2022,8.2
CY,2023,10.4
CY,2024,11.3
LV,2000,
LV,2001,
LV,2002,16.5
LV,2003,18.8
LV,2004,15.9
LV,2005,15.4
LV,2006,15.6
LV,2007,15.6
LV,2008,15.5
LV,2009,14.3
LV,2010,12.9
LV,2011,11.6
LV,2012,10.6
LV,2013,9.8
LV,2014,8.5
LV,2015,9.9
LV,2016,10.0
LV,2017,8.6
LV,2018,8.3
LV,2019,8.7
LV,2020,7.2
LV,2021,7.3
LV,2022,6.7
LV,2023,7.7
LV,2024,7.9
LT,2000,16.5
LT,2001,14.9
LT,2002,13.4
LT,2003,11.4
LT,2004,10.3
LT,2005,8.4
LT,2006,8.8
LT,2007,7.8
LT,2008,7.5
LT,2009,8.7
LT,2010,7.9
LT,2011,7.4
LT,2012,6.5
LT,2013,6.3
LT,2014,5.9
LT,2015,5.5
LT,2016,4.8
LT,2017,5.4
LT,2018,4.6
LT,2019,4.0
LT,2020,5.6
LT,2021,5.3
LT,2022,4.8
LT,2023,6.4
LT,2024,8.4
LU,2000,16.8
LU,2001,18.1
LU,2002,17.0
LU,2003,12.3
LU,2004,12.7
LU,2005,13.3
LU,2006,14.0
LU,2007,12.5
LU,2008,13.4
LU,2009,7.7
LU,2010,7.1
LU,2011,6.2
LU,2012,8.1
LU,2013,6.1
LU,2014,6.1
LU,2015,9.3
LU,2016,5.5
LU,2017,7.3
LU,2018,6.3
LU,2019,7.2
LU,2020,8.2
LU,2021,9.3
LU,2022,8.2
LU,2023,6.8
LU,2024,7.8
MT,2000,54.2
MT,2001,54.4
MT,2002,53.2
MT,2003,49.9
MT,2004,42.1
MT,2005,33.0
MT,2006,32.2
MT,2007,30.2
MT,2008,27.2
MT,2009,25.7
MT,2010,21.4
MT,2011,18.8
MT,2012,18.1
MT,2013,17.1
MT,2014,17.0
MT,2015,16.3
MT,2016,15.6
MT,2017,14.0
MT,2018,14.0
MT,2019,14.2
MT,2020,13.0
MT,2021,10.9
MT,2022,10.3
MT,2023,10.2
MT,2024,9.5
NL,2000,15.4
NL,2001,15.1
NL,2002,15.3
NL,2003,14.3
NL,2004,14.1
NL,2005,14.3
NL,2006,12.9
NL,2007,11.9
NL,2008,11.4
NL,2009,11.3
NL,2010,10.1
NL,2011,9.2
NL,2012,8.9
NL,2013,9.3
NL,2014,8.7
NL,2015,8.2
NL,2016,8.0
NL,2017,7.1
NL,2018,7.3
NL,2019,7.5
NL,2020,7.0
NL,2021,5.1
NL,2022,5.6
NL,2023,6.2
NL,2024,7.0
AT,2000,10.2
AT,2001,10.2
AT,2002,9.5
AT,2003,9.0
AT,2004,9.8
AT,2005,9.3
AT,2006,10.0
AT,2007,10.8
AT,2008,10.2
AT,2009,8.8
AT,2010,8.3
AT,2011,8.5
AT,2012,7.8
AT,2013,7.5
AT,2014,7.0
AT,2015,7.3
AT,2016,6.9
AT,2017,7.4
AT,2018,7.3
AT,2019,7.8
AT,2020,8.1
AT,2021,8.0
AT,2022,8.4
AT,2023,8.6
AT,2024,8.1
PT,2000,43.7
PT,2001,44.3
PT,2002,45.0
PT,2003,41.2
PT,2004,39.3
PT,2005,38.3
PT,2006,38.5
PT,2007,36.5
PT,2008,34.9
PT,2009,30.9
PT,2010,28.3
PT,2011,22.8
PT,2012,20.5
PT,2013,18.7
PT,2014,17.3
PT,2015,13.5
PT,2016,13.9
PT,2017,12.6
PT,2018,11.6
PT,2019,10.5
PT,2020,9.1
PT,2021,6.4
PT,2022,6.3
PT,2023,8.1
PT,2024,6.6
SI,2000,
SI,2001,6.4
SI,2002,5.1
SI,2003,4.6
SI,2004,4.3
SI,2005,4.9
SI,2006,5.6
SI,2007,4.1
SI,2008,5.1
SI,2009,5.3
SI,2010,5.0
SI,2011,4.2
SI,2012,4.4
SI,2013,3.9
SI,2014,4.4
SI,2015,5.0
SI,2016,4.9
SI,2017,4.3
SI,2018,4.2
SI,2019,4.6
SI,2020,4.1
SI,2021,3.1
SI,2022,4.0
SI,2023,5.4
SI,2024,5.0
SK,2000,
SK,2001,
SK,2002,6.7
SK,2003,5.3
SK,2004,6.8
SK,2005,6.3
SK,2006,6.6
SK,2007,6.5
SK,2008,6.0
SK,2009,4.9
SK,2010,4.7
SK,2011,5.1
SK,2012,5.3
SK,2013,6.4
SK,2014,6.7
SK,2015,6.9
SK,2016,7.4
SK,2017,9.3
SK,2018,8.6
SK,2019,8.3
SK,2020,7.6
SK,2021,7.8
SK,2022,7.4
SK,2023,6.4
SK,2024,7.5
FI,2000,9.0
FI,2001,9.5
FI,2002,9.7
FI,2003,10.1
FI,2004,10.0
FI,2005,10.3
FI,2006,9.7
FI,2007,9.1
FI,2008,9.8
FI,2009,9.9
FI,2010,10.3
FI,2011,9.8
FI,2012,8.9
FI,2013,9.3
FI,2014,9.5
FI,2015,9.2
FI,2016,7.9
FI,2017,8.2
FI,2018,8.3
FI,2019,7.3
FI,2020,8.2
FI,2021,8.2
FI,2022,8.4
FI,2023,9.6
FI,2024,9.6
